CAV Percentage,ZOV Percent,Facility Type,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap,Base Capacity,CAF
0,10,Freeway,0.71,10,2,2400,1.0
10,10,Freeway,0.71,10,2,2400,1.01
20,10,Freeway,0.71,10,2,2400,1.02
30,10,Freeway,0.71,10,2,2400,1.05
40,10,Freeway,0.71,10,2,2400,1.07
50,10,Freeway,0.71,10,2,2400,1.1
60,10,Freeway,0.71,10,2,2400,1.13
70,10,Freeway,0.71,10,2,2400,1.18
80,10,Freeway,0.71,10,2,2400,1.22
90,10,Freeway,0.71,10,2,2400,1.29
100,10,Freeway,0.71,10,2,2400,1.35
0,10,Freeway,0.71,10,2,2100,1.0
10,10,Freeway,0.71,10,2,2100,1.01
20,10,Freeway,0.71,10,2,2100,1.02
30,10,Freeway,0.71,10,2,2100,1.06
40,10,Freeway,0.71,10,2,2100,1.1
50,10,Freeway,0.71,10,2,2100,1.18
60,10,Freeway,0.71,10,2,2100,1.25
70,10,Freeway,0.71,10,2,2100,1.31
80,10,Freeway,0.71,10,2,2100,1.37
90,10,Freeway,0.71,10,2,2100,1.45
100,10,Freeway,0.71,10,2,2100,1.53
0,10,Freeway,0.71,10,2,1800,1.0
10,10,Freeway,0.71,10,2,1800,1.08
20,10,Freeway,0.71,10,2,1800,1.15
30,10,Freeway,0.71,10,2,1800,1.21
40,10,Freeway,0.71,10,2,1800,1.27
50,10,Freeway,0.71,10,2,1800,1.34
60,10,Freeway,0.71,10,2,1800,1.4
70,10,Freeway,0.71,10,2,1800,1.5
80,10,Freeway,0.71,10,2,1800,1.6
90,10,Freeway,0.71,10,2,1800,1.71
100,10,Freeway,0.71,10,2,1800,1.82
0,10,Diverge,0.71,10,2,2400,1.0
10,10,Diverge,0.71,10,2,2400,1.01
20,10,Diverge,0.71,10,2,2400,1.02
30,10,Diverge,0.71,10,2,2400,1.05
40,10,Diverge,0.71,10,2,2400,1.07
50,10,Diverge,0.71,10,2,2400,1.1
60,10,Diverge,0.71,10,2,2400,1.13
70,10,Diverge,0.71,10,2,2400,1.18
80,10,Diverge,0.71,10,2,2400,1.22
90,10,Diverge,0.71,10,2,2400,1.29
100,10,Diverge,0.71,10,2,2400,1.35
